repository,owner,repo_name,stars,forks,watchers,description,created_at,pushed_at,updated_at,language,size,has_issues,has_projects,has_wiki,has_pages,has_downloads,archived,disabled,private,fork,license,default_branch,open_issues_count,topics,visibility,homepage,collection_failed,contributors_count,top_contributor_commits,releases_count,latest_release_date,languages,primary_language_bytes,dataset_index,dataset_description,dataset_website,dataset_initial_stars,dataset_initial_forks,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
resemble-ai/chatterbox,resemble-ai,chatterbox,12825,1629,12825,SoTA open-source TTS,2025-04-23T08:16:38Z,2025-09-04T21:53:19Z,2025-09-14T23:38:52Z,Python,832,True,True,True,False,True,False,False,False,False,MIT License,master,171,[],public,https://resemble-ai.github.io/chatterbox_demopage/,False,12,8,1,2025-06-13T14:42:01Z,['Python'],325672,1,SoTA open-source TTS,https://resemble-ai.github.io/chatterbox_demopage/,12662,1606,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
simstudioai/sim,simstudioai,sim,14934,1863,14934,Open-source platform to build and deploy AI agent workflows.,2025-01-05T22:47:49Z,2025-09-14T01:16:19Z,2025-09-15T00:41:50Z,TypeScript,273787,True,True,False,False,True,False,False,False,False,Apache License 2.0,main,73,"['agent-workflow', 'agentic-workflow', 'agents', 'ai', 'aiagents', 'anthropic', 'artificial-intelligence', 'automation', 'chatbot', 'deepseek', 'gemini', 'low-code', 'nextjs', 'no-code', 'openai', 'rag', 'react', 'typescript']",public,https://www.sim.ai,False,18,895,0,,"['TypeScript', 'MDX', 'CSS', 'Python', 'Shell', 'Smarty', 'JavaScript', 'Dockerfile', 'PLpgSQL']",11146250,2,Open-source platform to build and deploy AI agent workflows.,https://www.sim.ai,14774,1835,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
oraios/serena,oraios,serena,12348,843,12348,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),2025-03-23T22:35:24Z,2025-09-14T11:22:15Z,2025-09-15T00:23:04Z,Python,4046,True,True,False,False,True,False,False,False,False,MIT License,main,82,"['agent', 'ai', 'ai-coding', 'claude', 'claude-code', 'language-server', 'llms', 'mcp-server', 'programming', 'vibe-coding']",public,,False,30,705,3,2025-08-15T12:01:05Z,"['Python', 'AL', 'Elixir', 'JavaScript', 'Erlang', 'Nix', 'Lua', 'Ruby', 'HTML', 'Dart', 'HCL', 'Shell', 'Zig', 'R', 'Dockerfile', 'Swift', 'C#', 'Rust', 'Java', 'Clojure', 'Kotlin', 'TypeScript', 'PHP', 'Go']",1667420,3,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),,12124,832,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
getzep/graphiti,getzep,graphiti,18103,1635,18103,Build Real-Time Knowledge Graphs for AI Agents,2024-08-08T22:08:30Z,2025-09-14T05:44:26Z,2025-09-15T00:20:53Z,Python,11284,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,136,"['agents', 'graph', 'llms', 'rag']",public,https://help.getzep.com/graphiti,False,30,226,30,2025-09-14T05:44:26Z,"['Python', 'Dockerfile', 'Makefile']",821731,4,Build Real-Time Knowledge Graphs for AI Agents,https://help.getzep.com/graphiti,18019,1618,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,1.0,0,0.8965517241379313,0.8965517241379309,0.8965517241379308
11cafe/jaaz,11cafe,jaaz,4501,365,4501,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,2025-06-01T14:53:08Z,2025-09-12T01:20:26Z,2025-09-15T00:42:58Z,TypeScript,9987,True,True,True,False,True,False,False,False,False,Other,main,36,"['agent', 'ai', 'aiagent', 'aiimage', 'aiimagegenerator', 'aitool', 'aitools', 'canva', 'comfyui', 'flux', 'stable-diffusion']",public,https://jaaz.app,False,11,586,27,2025-08-09T13:58:14Z,"['TypeScript', 'Python', 'JavaScript', 'CSS', 'HTML']",591747,5,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,https://jaaz.app,4313,354,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
rowboatlabs/rowboat,rowboatlabs,rowboat,3467,317,3467,AI-powered multi-agent builder,2025-01-13T09:30:40Z,2025-09-14T19:14:18Z,2025-09-14T15:01:53Z,TypeScript,74293,True,True,True,True,True,False,False,False,False,Apache License 2.0,main,45,[],public,https://www.rowboatlabs.com,False,5,385,0,,"['TypeScript', 'MDX', 'Python', 'CSS', 'Dockerfile', 'Shell', 'JavaScript']",2193117,6,AI-powered multi-agent builder,https://www.rowboatlabs.com,3466,317,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7075862068965515,0.7075862068965516
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,2894,699,2894,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",2025-07-10T17:53:18Z,2025-09-09T17:11:44Z,2025-09-15T00:14:44Z,Python,2111,True,True,True,False,True,False,False,False,False,None,master,14,"['0x4m4', 'ai', 'ai-agents', 'ai-cybersecurity', 'ai-hacking', 'ai-penetration-testing', 'ai-security-tool', 'artificial-intelligence', 'ctf-tools', 'generative-ai', 'hexstrike', 'kali-linux', 'kali-tools', 'llm', 'llm-integration', 'mcp', 'mcp-server', 'mcp-tools', 'pentesting', 'pentesting-tools']",public,https://www.hexstrike.com/,False,2,56,0,,['Python'],874400,7,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",https://www.hexstrike.com/,2791,675,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
VectifyAI/PageIndex,VectifyAI,PageIndex,2496,191,2496,📄🧠 PageIndex: Document Index for Reasoning-based RAG,2025-04-01T10:53:54Z,2025-09-03T17:10:33Z,2025-09-15T00:31:32Z,Python,23053,True,True,False,False,True,False,False,False,False,MIT License,main,19,"['ai', 'llm', 'rag', 'reasoning', 'retrieval']",public,https://pageindex.ai,False,3,115,0,,"['Python', 'Jupyter Notebook']",91015,8,📄🧠 PageIndex: Document Index for Reasoning-based RAG,https://pageindex.ai,2464,190,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,1674,46,1674,Real-time analytics on Postgres tables,2024-09-05T04:45:58Z,2025-09-13T01:06:14Z,2025-09-14T21:33:07Z,Rust,631,True,True,False,False,True,False,False,False,False,MIT License,main,12,"['analytics', 'columnstore', 'delta-lake', 'iceberg', 'lakehouse', 'parquet', 'postgresql']",public,https://mooncake.dev/,False,14,82,3,2025-02-12T01:11:04Z,"['Rust', 'Makefile', 'Dockerfile', 'Shell']",29801,9,Real-time analytics on Postgres tables,https://mooncake.dev/,1665,46,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.49999999999999994,0.9999999999999994,1.0,0,0.5862068965517242,0.5862068965517241,0.5862068965517242
nari-labs/dia,nari-labs,dia,18363,1565,18363,A TTS model capable of generating ultra-realistic dialogue in one pass.,2025-04-19T07:15:57Z,2025-07-06T14:48:04Z,2025-09-15T00:35:03Z,Python,588,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,82,"['ai', 'open-weight', 'text-to-speech']",public,,False,21,29,0,,['Python'],118610,10,A TTS model capable of generating ultra-realistic dialogue in one pass.,https://narilabs.org/,18336,1559,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
twentyhq/twenty,twentyhq,twenty,35431,4137,35431,"Building a modern alternative to Salesforce, powered by the community.",2022-12-01T13:04:40Z,2025-09-14T19:18:02Z,2025-09-14T21:31:03Z,TypeScript,403133,True,True,False,False,True,False,False,False,False,Other,main,244,"['crm', 'crm-system', 'customer', 'good-first-issue', 'graphql', 'hacktoberfest', 'javascript', 'marketing', 'monorepo', 'nestjs', 'open-source', 'postgresql', 'react', 'reactjs', 'sales', 'typescript', 'web']",public,https://twenty.com,False,30,1118,29,2025-09-05T15:00:32Z,"['TypeScript', 'MDX', 'JavaScript', 'HCL', 'Shell', 'Dockerfile', 'HTML', 'CSS', 'Makefile']",28299402,11,"Building a modern alternative to Salesforce, powered by the community.",https://twenty.com,35390,4130,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.7500000000000001,0.0,0.0,0,0.5344827586206897,0.4604597701149424,0.46045977011494243
BoundaryML/baml,BoundaryML,baml,5803,271,5803,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),2023-10-06T18:57:41Z,2025-09-14T17:44:27Z,2025-09-14T22:10:04Z,Rust,286263,True,True,True,False,True,False,False,False,False,Apache License 2.0,canary,247,"['baml', 'boundaryml', 'guardrails', 'llm', 'llm-playground', 'playground', 'prompt', 'prompt-config', 'prompt-templates', 'structured-data', 'structured-generation', 'structured-output', 'vscode']",public,https://docs.boundaryml.com,False,30,831,30,2025-09-13T23:24:13Z,"['Rust', 'TypeScript', 'MDX', 'Python', 'Go', 'HTML', 'Jinja', 'Ruby', 'JavaScript', 'Kotlin', 'Shell', 'Mermaid', 'CSS', 'Nix', 'Dockerfile', 'C', 'Scheme', 'Java', 'Just', 'RenderScript']",6295826,12,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),https://docs.boundaryml.com,5778,270,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
stagewise-io/stagewise,stagewise-io,stagewise,6148,367,6148,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,2025-04-26T12:43:16Z,2025-09-12T03:07:20Z,2025-09-14T22:30:10Z,TypeScript,31442,True,True,False,False,True,False,False,False,False,GNU Affero General Public License v3.0,main,25,"['code-editor', 'cursor', 'cursor-ai', 'ide', 'vscode', 'vscode-extension', 'windsurf', 'windsurf-extension']",public,https://stagewise.io,False,11,991,30,2025-09-11T21:51:29Z,"['TypeScript', 'MDX', 'JavaScript', 'CSS', 'HTML']",1862219,13,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,https://stagewise.io,6138,366,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
M4THYOU/TokenDagger,M4THYOU,TokenDagger,451,10,451,High-Performance Implementation of OpenAI's TikToken.,2025-06-22T18:12:33Z,2025-07-03T15:40:37Z,2025-09-09T16:07:48Z,C++,12126,True,True,True,False,True,False,False,False,False,MIT License,main,4,[],public,,False,1,49,0,,"['C++', 'Python', 'Makefile']",1076527,14,High-Performance Implementation of OpenAI's TikToken.,,451,10,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.6844986706679748,0.6844986706679748
CopilotKit/CopilotKit,CopilotKit,CopilotKit,22892,3087,22892,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",2023-06-19T04:08:31Z,2025-09-13T00:39:45Z,2025-09-14T18:55:00Z,TypeScript,641125,True,True,True,False,True,False,False,False,False,MIT License,main,327,"['agent', 'agents', 'ai', 'ai-agent', 'ai-assistant', 'assistant', 'copilot', 'copilot-chat', 'hacktoberfest', 'langchain', 'langgraph', 'llm', 'nextjs', 'open-source', 'react', 'reactjs', 'ts', 'typescript']",public,https://docs.copilotkit.ai,False,30,941,30,2025-09-08T22:57:44Z,"['TypeScript', 'Python', 'Shell', 'CSS', 'JavaScript', 'Dockerfile']",1564976,15,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",https://docs.copilotkit.ai,22858,3081,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
onkernel/kernel-images,onkernel,kernel-images,525,27,525,Browsers-as-a-service for automations and web agents,2025-02-27T15:14:18Z,2025-09-12T02:35:10Z,2025-09-13T19:58:37Z,Shell,4508,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,15,"['ai', 'browser', 'container', 'docker', 'infrastructure', 'unikernel', 'vm']",public,https://www.onkernel.com,False,9,11,0,,"['Shell', 'Go', 'TypeScript', 'Vue', 'Makefile', 'C', 'JavaScript', 'Python', 'Dockerfile', 'SCSS', 'M4', 'HTML']",424353,16,Browsers-as-a-service for automations and web agents,https://www.onkernel.com,523,27,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.7955156027762917,0.795515602776292
superglue-ai/superglue,superglue-ai,superglue,1905,99,1905,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",2025-01-10T18:38:47Z,2025-09-13T13:53:25Z,2025-09-13T16:40:50Z,TypeScript,14158,True,False,True,False,True,False,False,False,False,GNU General Public License v3.0,main,10,"['api', 'api-gateway', 'api-orchestration', 'etl', 'etl-automation', 'graphql', 'integrations', 'transformations', 'workflow-automation']",public,https://superglue.ai,False,15,676,0,,"['TypeScript', 'CSS', 'Shell', 'PLpgSQL', 'Dockerfile', 'JavaScript']",1850585,17,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",https://superglue.ai,1904,99,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,1.0,0.0,0,0.8275862068965519,0.7701149425287354,0.7701149425287354
Operative-Sh/web-eval-agent,Operative-Sh,web-eval-agent,1183,98,1183,An MCP server that autonomously evaluates web applications. ,2025-04-01T23:40:56Z,2025-08-25T05:44:31Z,2025-09-12T23:48:45Z,Python,118165,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,10,"['debugging', 'debugging-tool', 'mcp', 'mcp-server', 'modelcontextprotocol', 'playwright', 'qa', 'vibe-coding', 'vibe-testing']",public,https://www.operative.sh/mcp,False,4,103,0,,"['Python', 'HTML', 'JavaScript']",122299,18,An MCP server that autonomously evaluates web applications. ,https://www.operative.sh/mcp,1181,97,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.25,0.9999999999999994,0.0,0,0.20689655172413798,0.1903448275862068,0.19034482758620705
yichuan-w/LEANN,yichuan-w,LEANN,2590,241,2590,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",2025-06-09T06:52:59Z,2025-09-14T23:03:52Z,2025-09-14T23:49:43Z,Python,69194,True,True,True,False,True,False,False,False,False,MIT License,main,22,"['ai', 'faiss', 'gpt-oss', 'langchain', 'llama-index', 'llm', 'localstorage', 'offline-first', 'ollama', 'privacy', 'python', 'rag', 'retrieval-augmented-generation', 'vector-database', 'vector-search', 'vectors']",public,,False,8,202,25,2025-09-02T22:57:12Z,"['Python', 'Shell', 'CMake', 'Jupyter Notebook']",579580,19,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",,2516,232,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
sirius-db/sirius,sirius-db,sirius,436,12,436,,2024-06-19T21:39:19Z,2025-09-12T23:24:10Z,2025-09-12T23:24:14Z,C++,103434,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,25,[],public,https://www.sirius-db.com,False,6,169,0,,"['C++', 'Cuda', 'Python', 'CMake', 'Dockerfile', 'Shell', 'Makefile']",911377,20,,https://www.sirius-db.com,436,11,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.0,0,0.7763975155279503,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
agentscope-ai/agentscope,agentscope-ai,agentscope,11401,810,11401,AgentScope: Agent-Oriented Programming for Building LLM Applications,2024-01-12T03:41:59Z,2025-09-14T01:55:15Z,2025-09-15T00:45:04Z,Python,320335,True,True,False,True,True,False,False,False,False,Apache License 2.0,main,42,"['agent', 'chatbot', 'large-language-models', 'llm', 'llm-agent', 'mcp', 'multi-agent', 'multi-modal', 'react-agent']",public,https://doc.agentscope.io/,False,10,14,16,2025-09-06T03:26:10Z,['Python'],989655,21,AgentScope: Agent-Oriented Programming for Building LLM Applications,https://doc.agentscope.io/,11099,764,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
agent0ai/agent-zero,agent0ai,agent-zero,11718,2287,11718,Agent Zero AI framework,2024-06-10T09:10:45Z,2025-09-03T19:03:19Z,2025-09-14T13:25:26Z,Python,28496,True,True,False,False,True,False,False,False,False,Other,main,217,"['agent', 'ai', 'assistant', 'autonomous', 'linux', 'zero']",public,https://agent-zero.ai,False,24,531,30,2025-09-03T08:57:25Z,"['Python', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Dockerfile']",872073,22,Agent Zero AI framework,https://agent-zero.ai,11709,2287,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
dyad-sh/dyad,dyad-sh,dyad,14758,1496,14758,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",2025-04-11T06:33:48Z,2025-09-12T17:54:01Z,2025-09-15T00:33:40Z,TypeScript,22392,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,201,"['ai-app-builder', 'anthropic', 'artificial-intelligence', 'bolt', 'deepseek', 'gemini', 'generative-ai', 'github', 'llm', 'llms', 'lovable', 'nextjs', 'ollama', 'openai', 'qwen', 'react', 'typescript', 'v0', 'vercel']",public,https://dyad.sh,False,17,556,30,2025-09-11T18:21:47Z,"['TypeScript', 'JavaScript', 'CSS', 'HTML', 'Shell', 'Python', 'Astro']",1848547,23,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",https://dyad.sh,14680,1475,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
GraphiteEditor/Graphite,GraphiteEditor,Graphite,21113,893,21113,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",2020-04-26T07:29:29Z,2025-09-14T16:52:35Z,2025-09-15T00:03:01Z,Rust,43542,True,True,False,False,True,False,False,False,False,Apache License 2.0,master,353,"['2d-graphics', 'animation', 'art', 'creative-coding', 'design', 'graphic-design', 'graphics', 'graphics-editor', 'image-generation', 'image-manipulation', 'image-processing', 'motion-design', 'motion-graphics', 'node-graph', 'photo-editor', 'procedural', 'procedural-drawing', 'procedural-generation', 'svg-editor', 'vector-graphics']",public,https://graphite.rs,False,30,827,1,2022-02-04T02:17:50Z,"['Rust', 'Svelte', 'TypeScript', 'SCSS', 'JavaScript', 'HTML', 'Nix', 'WGSL', 'Handlebars', 'Shell']",4457410,24,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",https://graphite.rs,21086,889,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,1.0,0,0.1724137931034483,0.17241379310344812,0.17241379310344804
livestorejs/livestore,livestorejs,livestore,2970,88,2970,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,2023-09-21T14:34:08Z,2025-09-12T07:41:59Z,2025-09-14T20:44:41Z,PLpgSQL,24907,True,True,False,False,True,False,False,False,False,Apache License 2.0,dev,189,"['data-layer', 'local-first', 'signals', 'sqlite', 'state-management', 'sync-engine']",public,https://livestore.dev,False,30,1264,30,2025-09-04T13:59:28Z,"['PLpgSQL', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'Nix', 'C', 'Shell', 'Makefile']",8107332,25,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,https://livestore.dev,2965,88,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
pathwaycom/pathway,pathwaycom,pathway,42727,1298,42727,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",2022-11-27T13:01:14Z,2025-09-14T05:02:02Z,2025-09-14T23:08:49Z,Python,138170,True,False,False,False,True,False,False,False,False,Other,main,48,"['batch-processing', 'data-analytics', 'data-pipelines', 'data-processing', 'dataflow', 'etl', 'etl-framework', 'iot-analytics', 'kafka', 'machine-learning-algorithms', 'pathway', 'python', 'real-time', 'rust', 'stream-processing', 'streaming', 'time-series-analysis']",public,https://pathway.com,False,29,501,30,2025-08-28T07:58:19Z,"['Python', 'Rust', 'Shell']",3757616,26,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",https://pathway.com,42443,1292,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,1.0,0.0,1.0,0,1.0,1.0,1.0
